Date,Day,Use,Team,Time
Aug 3,Mon,Practice,Combined,4:30 PM
Aug 4,Tue,Practice,Combined,4:30 PM
Aug 5,Wed,Practice,Combined,4:30 PM
Aug 6,Thu,Practice,Combined,4:30 PM
Aug 7,Fri,Practice,Combined,4:30 PM
Aug 10,Mon,Practice,Combined,4:30 PM
Aug 11,Tue,Practice,Combined,4:30 PM
Aug 12,Wed,Practice,Combined,4:30 PM
Aug 13,Thu,Practice,Combined,4:30 PM
Aug 14,Fri,Practice,Combined,4:30 PM
Aug 17,Mon,Scrimmage v Grand Blanc,Varsity,10:00 AM
Aug 18,Tue,Practice,Combined,4:30 PM
Aug 20,Thu,Practice,Combined,4:30 PM
Aug 24,Mon,Practice,Combined,4:30 PM
Aug 26,Wed,Practice,Combined,4:30 PM
Aug 28,Fri,Practice,Combined,4:30 PM
Aug 31,Mon,Practice,Combined,4:30 PM
Sep 1,Tue,Game v Soo,JV,5:00 PM
Sep 1,Tue,Game v Soo,Varsity,6:30 PM
Sep 2,Wed,Practice,Combined,4:30 PM
Sep 3,Thu,Game v Glen Lake,Varsity,5:00 PM
Sep 4,Fri,Practice,Combined,4:30 PM
Sep 7,Mon,Practice,Combined,4:30 PM
Sep 8,Tue,Practice,Combined,4:30 PM
Sep 9,Wed,Practice,Combined,4:30 PM
Sep 10,Thu,Game v TC West,JV,5:00 PM
Sep 10,Thu,Game v TC West,Varsity,6:30 PM
Sep 11,Fri,Practice,Combined,4:30 PM
Sep 14,Mon,Practice,Combined,4:30 PM
Sep 16,Wed,Practice,Combined,4:30 PM
Sep 17,Thu,Game v Alpena,JV,5:00 PM
Sep 17,Thu,Game v Alpena,Varsity,6:30 PM
Sep 18,Fri,Practice,Combined,4:30 PM
Sep 21,Mon,Practice,Combined,4:30 PM
Sep 22,Tue,Game v Gaylord,JV,5:00 PM
Sep 22,Tue,Game v Gaylord,Varsity,6:30 PM
Sep 23,Wed,Practice,Combined,4:30 PM
Sep 24,Thu,Game v Cadillac,JV,5:00 PM
Sep 24,Thu,Game v Cadillac,Varsity,6:30 PM
Sep 25,Fri,Practice,Combined,4:30 PM
Sep 28,Mon,Practice,Combined,4:30 PM
Sep 30,Wed,Practice,Combined,4:30 PM
Oct 2,Fri,Practice,Combined,4:30 PM
Oct 3,Sat,Game v Midland,JV,11:00 AM
Oct 3,Sat,Game v Midland,Varsity,12:30 PM
Oct 5,Mon,Practice,Combined,4:30 PM
Oct 7,Wed,Practice,Combined,4:30 PM
Oct 8,Thu,Game v TC Central,JV,5:00 PM
Oct 8,Thu,Game v TC Central,Varsity,6:30 PM
Oct 9,Fri,Practice,Combined,4:30 PM
